sentence_id,author,date,full_sentence
id270397,LEMONDE,1992-12-22,"Baisse des  prix en Grande-Bretagne Grande - Bretagne : en novembre , les prix ont baissé de 0,1 0 , 1 % , annonce l' office des  statistiques le 11 décembre ."
id249390,ROCHE MARC,1992-07-07,"Signe des 
 temps : la très britannique banqued'affaires banque d' affaires et de marché vient d' acheter un siège à la Bourse de Paris ."
id225222,BOSTNAVARON FRANCOIS,1992-01-06,"Comme le déplore le quotidienfinancier quotidien financier , on est bien loin des  quatre-vingt-deux quatre - vingt - deux admissions enregistrées au  cours de l' année 1987 ."
id226149,GRELLET GERARD,1992-01-14,"La montée de la famine ( vingt millions d' Africains dépendent aujourd'hui aujourd' hui de l' aidealimentaire aide alimentaire ) , la tragédie du  sida , l' absence de règlement du  problème des  réfugiés , rendent aujourd'hui aujourd' hui nécessaire une augmentation de l' aide humanitaire ."
1105,FABRA PAUL,1990-01-13,"Il est vrai , si l'on en croit le rapport Delors que c' est un organisme du  même genre que l'on veut créer au  bénéfice de l' Europe toutentière tout entière ."
id270348,TUQUOI JEAN PIERRE,1992-12-22,Un pays se détache du  lot : le Royaume-Uni Royaume - Uni ( 874 kg en 1991 ) .
id270506,LEMONDE,1992-12-23,"Grâceà Grâce à ces mesures , les intervenants espèrent enfin revoir l' économie repartir ."
id271321,"LAZARE FRANCOISE,IZRAELEWICZ ERIK",1992-12-30,"A 8h15 , la BanquedeFrance Banque de France annoncera le relèvement du  taux de ses prisesenpension prises en pension ."
id293362,RICHES VERONIQUE,1993-06-08,elles représentent globalement les deux cinquièmes des  débouchés communautaires ( àraisonde à raison de 17 % pour la France et 23 % pour l' Allemagne ) et sont respectivement les premiers fournisseurs de chacun des  pays de la zone .
1068,FRAPPAT BRUNO,1990-01-15,"Le ruban est large , le devant pique du  nez , mais point trop ."
910,BRESSON HENRI DE,1990-01-16,"Quatrecentcinquante Quatre cent cinquante délégués représentaient les quinze districts territoriaux de l' Allemagnedel'Est Allemagne de l' Est et on annonçait fièrement que le jeune parti-social-démocrate parti - social - démocrate de l' est comptait déjà trente-cinqmille trente - cinq mille membres , avec une tendance ascendante ."
id293395,VERNHOLES ALAIN,1993-06-09,"La stagflation combine stagnation et inflation , combinaison assez paradoxale puisque de fortes haussesdeprix hausses de prix caractérisent généralement les économies en surchauffe ."
id249473,LEMONDE,1992-07-07,"Paris : rencontre organisée par le CNPF entre le présidentdelaRépublique président de la République du  Chili , Patricio Aylwin , et une délégation de chefsd'entreprise chefs d' entreprise français ."
id271551,MONNOT CAROLINE,1993-01-02,Le second argument invoqué par les firmes américaines concerne directement l' offre de ZDS .
491,MENANTEAU JEAN,1990-01-19,"Connaissance et appréciation des  hommes , mais aussi du  monde des  transports : "" qu' il s' agisse d' avions ou d' un système de transport ferroviaire dans un tunnel , l' approche reste la même au  plan commercial "" , affirme sans crainte du  paradoxe apparent Nicolas Gorodiche , qui a introduit entre Paris et Londres huit liaisons aériennes nouvelles ."
id292573,BAUDET MARIE BEATRICE,1993-06-02,""" Nous devons fairefeudetoutbois faire feu de tout bois "" , insiste Suzanne Hunkuler , directrice de la mission locale , qui compte 659 nouveaux inscrits chaque année ."
id249517,THIS JEAN LOUIS,1992-07-07,Elle a plus de quatrecents quatre cents ans .
id271907,BANUS TUDOR,1993-01-05,""" DOC : AVEC UN DESSIN TUDOR BANUS"
id249519,THIS JEAN LOUIS,1992-07-07,"Cinq jeunes entrepreneurs reprennent néanmoins le flambeau , ne pouvant pas se résoudre à voir disparaître l' activité légendaire de leur ville ."
id271323,TUQUOI JEAN PIERRE,1992-12-30,"Même si l'on faitabstraction fait abstraction du  secteur des  hydrocarbures , le boom des  économies régionales est indéniable ."
id293422,MAGNAN FREDERIC,1993-06-08,Nous n' avons pas de vrais designers .
id271911,KREMER PASCALE,1993-01-05,VIGILANCE Quelques fabricants semblent également fairepreuve faire preuve de bonnevolonté bonne volonté .
id271923,MARIS BERNARD,1993-01-05,"Enjeu et langage de négociation , la micro- économie est aujourd'hui aujourd' hui irremplaçable ."
id225555,COJEAN ANNICK,1992-01-09,Où s' arrête le programme et où commence la pub lorsqu' une marque de jouet parraine l' émission qui le met envaleur en valeur ?
id292857,MONNOT CAROLINE,1993-06-04,"La plupart des  multinationales , pour des raisons de commodité et de coûts , souhaitent , eneffet en effet , pouvoir bénéficier de leur propre réseau privé pour les liaisons téléphoniques , mais aussi les échanges de données informatiques et transmissions de tous types ."
id249842,PORTE GUY,1992-07-09,"Il regrette , cependant , "" l' acharnement "" de Mme Laffont - Leenhard , "" au  moment , dit -il , où Nous sommes enpassede en passe de rétablir une situation difficile "" ."
id249655,MENANTEAU JEAN,1992-07-08,"58 % des  agencesdevoyages agences de voyages n' emploient -elles pas moins de cinq salariés , et 10 % plus de dix ?"
id272859,FABRA PAUL,1993-01-12,"C' est seulement pour les méthodes qu' on peut y voir un progrès de l' économiedemarché économie de marché sur l' "" interventionnisme d' Etat "" : pas pour la finalité ."
id249559,SUBTIL MARIE PIERRE,1992-07-07,Le programme d' ajustementstructurel ajustement structurel engagé en 1986 n' a pas donné les fruits escomptés .
487,CHIROT FRANCOISE,1990-01-19,"Et s' ils estiment qu' on ne peut eneffet en effet pas s' en passer , ils conseillent de le consommer avec modération ."
id270836,BUETAS GERARD,1992-12-26,"Le budgetprévisionnel budget prévisionnel était fixé à 50 millions d' écus , dont 55 % devaient être versés par les actionnaires , 25 % provenant de recettes commerciales , et 20 % de subventions ."
id293356,MAURUS VERONIQUE,1993-06-08,"La crise , toutlemonde tout le monde la sentait , mais ce mois terrible en fait prendre la mesure ."
id270789,BOSTNAVARON FRANCOIS,1992-12-25,"Dès le mois d' avril , les bonnes dispositions revinrent , plus exactement dès la fin du  mois de mars ."
967,LEMONDE,1990-01-15,"Son nom "" n' a été mentionné qu' en reprenant "" , comme il l' a fait lui-même lui - même , des propos "" tenus ailleurs "" par MM Marcel Rigout et Anicet LePors Le Pors , souligne Mr Leroy ."
id249700,CROQUETTE DANIEL,1992-07-08,Il vautmieux vaut mieux muter ... voire licencier et reconvertir .
id292907,NORMAND JEAN MICHEL,1993-06-05,"Irrité par ce qu' il considère comme un manque de mobilisation du  patronat devant la montée continue du  chômage , le gouvernement - àcommencerpar à commencer par le premierministre premier ministre lui-même lui - même - dissimule demoinsenmoins de moins en moins son impatience ."
id270544,NORMAND JEAN MICHEL,1992-12-23,Ses conclusions sont édifiantes .
id248947,VAYSSE FRANCOISE,1992-07-03,Les politiques diront que les lobbies fonctionnent bien .
id270355,IZRAELEWICZ ERIK,1992-12-22,La croissance est essentielle : le rapport rappelle que tout point supplémentaire permet la création de 120000 120 000 à 140000 140 000 emplois .
id225222,BOSTNAVARON FRANCOIS,1992-01-06,"Mais si , en dix jours , la place américaine a presque doublé ses gains accumulés jusqu'alors jusqu' alors , les Etats-Unis Etats - Unis n' ont pas pourautant pour autant misunterme mis un terme à la récession ."
1092,LEMONDE,1990-01-13,"Mr Lionel Jospin , ministredel'éducationnationale ministre de l' éducation nationale , précise , dans l' entretien qu' il a accordé au monde  monde , les objectifs de la politique adoptée par le gouvernement pour développer l' enseignementsupérieur enseignement supérieur , faceà face à l' accroissement considérable du  nombre des  étudiants ."
id270622,NORMAND JEAN MICHEL,1992-12-24,"Aujourd'hui Aujourd' hui , il adopte des dispositions complexes dont le résultat est de ne combler qu' une partie du  déficit de la sécuritésociale sécurité sociale qu' il a laissé filer mais qu' il devra pourtant résorber , même enpartie en partie ."
1027,FAUJAS ALAIN,1990-01-15,"Il est difficile de dire si le mouvement d' association ( AirFrance Air France / Lufthansa , Swissair / sas , BritishAirways British Airways / KLM / Sabena ) ou de rachat se poursuivra en Europe comme aux  Etats-Unis Etats - Unis ."
id293364,GROSRICHARD FRANCOIS,1993-06-08,DOC / AVEC UN GRAPHIQUE
id249472,LEMONDE,1992-07-07,"Il prévoit une obligation d' information par affichage et lettrerecommandée lettre recommandée , àlachargedu à la charge du  propriétaire ou du  représentantlégal représentant légal de la copropriété ."
id225124,LEMONDE,1992-01-06,""" Nous travaillerons avec ces pays pour nous assurer que leurs demandes d' adhésion seront prisesencompte prises en compte aussi vite que possible "" , a ajouté M. Brady ."
id225264,GAY PIERRE ANGEL,1992-01-07,On a cru que ce média était un dérivé du  cinéma .
id225264,GAY PIERRE ANGEL,1992-01-07,"Une télévision , désormais , c' est une famille d' animateurs-vedettes animateurs - vedettes qui s' adressent aux  téléspectateurs avec , comme le souligne Mme Dagnaud , "" un rapport fondé sur l' affectif "" ."
1025,BRESSON HENRI DE,1990-01-15,"S' il s' agit aujourd'hui aujourd' hui de refuser les conditions de reclassement des  anciens agents de la Stasi , il s' agira demain d' autres choses ."
id249652,CHIROT FRANCOISE,1992-07-08,"Résultat : 65 % du  personnel hôtelier et de restauration est français , mais 11 % est britannique , 4 % , néerlandais , 3 % , irlandais et 3 % , allemand ."
id248731,NUENO PEDRO,1992-07-01,L' éventail de nos modèles est large : de l' entreprise flexible à l' italienne jusqu'à jusqu' à la structure participative à la suédoise .
id225018,RENARD FRANCOIS,1992-01-04,"Les rendements obtenus lorsde lors de cette première adjudication sont retombés , en un mois , de 8,96 8 , 96 % à 8,48 8 , 48 % sur l' échéance à 10 ans , l' échéance 30 ans valant même moins cher , à 8,35 8 , 35 % contre 8,99 8 , 99 % ."
id270449,FABRA PAUL,1992-12-22,"C' est toute une autre évolution qui se développe actuellement sur les marchés les plus divers , de biensdeconsommation biens de consommation et de biensd'équipement biens d' équipement , de gros et de détail ."
id249062,LEMONDE,1992-07-04,Une jolie plus-value plus - value
id293494,"LEBAUBE ALAIN,GUILLEN PIERRE",1993-06-09,""" Le premierministre premier ministre s' est livré "" à une miseaupoint mise au  point utile "" et , aucoursde au  cours de la discussion , "" personne n' a joué à contre emploi "" ."
id225223,VETTER CHRISTOPHE,1992-01-06,"L' attention des  spécialistes se porte pourl'instant pour l' instant encore sur les emprunts privés ou "" réservés "" , comme on les désigne dans les documents officiels ."
951,GUILLEN PIERRE,1990-01-16,Ces trois pays manquent de capitaux ; ils ne disposent guère de main-d'oeuvre main - d' oeuvre qualifiée apte à mettre en oeuvre les technologies que nous pourrions leur transférer .
1068,FRAPPAT BRUNO,1990-01-15,Chacun d' eux est prêt à s' effacer devant l' autre s' il accepte ses propres orientations pour le bien de la France .
id270177,GALLOIS DOMINIQUE,1992-11-30,"Selon M. Jean-Pierre Jean - Pierre Tirouflet , directeurfinancier directeur financier du  groupe chimique , l' Etat , dans un premier temps , récupérera le privilège attaché aux  CIP qui donnaient droit chaque année à une rémunération supplémentaire de 5 francs net ."
id292577,AIZICOVICI FRANCINE,1993-06-02,D'où D' où l' urgence de former aussi les salariés des  régies à la citoyenneté dans l' entreprise .
id249064,LEMONDE,1992-07-04,"L' arrêté , publié au  journalofficiel journal officiel du  jeudi 2 juillet par le ministère de l' agriculture et de la forêt , prévoit enoutre en outre que les allocations provisoires de quotas disponibles , plafonnées à 20000 20 000 litres par exploitant , devront être attribuées avant le 1 décembre ."
id249743,MATHA GINETTE DE,1992-07-07,"Mais l' instruction a été annulée en presque totalité , en février 1987 , par la courdecassation cour de cassation ."
id293496,TUQUOI JEAN PIERRE,1993-06-09,"Les deux "" poidslourds poids lourds "" de l' organisation font cause commune pour éviter une chute des  prix du  pétrole ."
id292554,SCOTTO MARCEL,1993-06-02,"Fort de l' expérience réalisée ilya il y a quelques années dans la Sarthe , le président de GazdeFrance Gaz de France , Francis Gutmann , croit durcommefer dur comme fer à cette solution pour viser l' objectif "" d' être partout "" sans en avoir "" l' obligation "" ."
id248801,LEMONDE,1992-07-02,"La base mensuelle de calcul des  allocationsfamiliales allocations familiales ( 1,8  1 , 8 % ) est portée à 1974,55 1 974 , 55 francs ( soit 632 francs pour deux enfants , 1441 1 441 francs pour trois enfants , 2251 2 251 francs pour quatre enfants ) ."
id225314,LEMONDE,1992-01-07,"Selon lui , les particuliers pourraient être confrontés à des problèmes de chauffage , les centralesélectriques centrales électriques souffrant de pénuries d' approvisionnement en charbon ."
id271217,LEMONDE,1992-12-29,""" Le conseild'administration conseil d' administration du  groupe DesfossésInternational Desfossés International , éditeur notamment du  quotidien la TribuneDesfossés Tribune Desfossés , a donné son agrément , mercredi 23 décembre , à l' entrée àhauteurde à hauteur de 11 % de Clinvest , banqued'affaires banque d' affaires filiale du  Créditlyonnais Crédit lyonnais , dans le capital du  groupe ."
968,ROLLAT ALAIN,1990-01-15,Ses succès d' estrade et l' estime unanime dont il jouissait parmi les fidèles du  général ne lui évitèrent pas la déconfiture .
id248803,RENARD FRANCOIS,1992-07-02,La valse-hésitation valse - hésitation des  pouvoirspublics pouvoirs publics dans le choix d' un éventuel successeur à M. Thomas a finalement débouché sur un statuquo statu quo ( leMonde le Monde du  1 juillet ) .
id249041,LEBAUBE ALAIN,1992-07-01,"Tout cela est vrai et pourtant , danslemêmetemps dans le même temps , ce système presque aussi vieux que la révolutionindustrielle révolution industrielle n' a pas que des défauts ."
id249631,TUQUOI JEAN PIERRE,1992-07-08,Il n' est plus que de 500 millions de francs .
id249634,VAYSSE FRANCOISE,1992-07-08,"Faceà Face à cette offre insuffisante , la demande est disproportionnée , quoique mal connue enraisondes en raison des  imprécisions des  fichiers : leur simple cumul fait apparaître 300000 300 000 demandes en 1991 , dont 100000 100 000 prioritaires , mais l' organisme , qui réclame depuis des années un observatoire régional des  besoins et de la demande , estime que "" le chiffre vrai doit se situer endessous en dessous , auxenvironsde aux  environs de 200000 200 000 "" ."
id292967,LE BOUCHER ERIC,1993-06-05,Doc : Avec un graphique
id292571,DELWASSE LILIANE,1993-06-02,"Emmanuelle , vingt-trois vingt - trois ans , explique : "" Je comprends pas pourquoi le toubib il nous soigne ; ça je comprends vraiment pas , on est des merdes , on nous l' a toujours dit ."
id249101,LEMONDE,1992-07-04,Ce projet est longuement étudié par la Commission de Bruxelles .
id293365,PEYRELEVADE JEAN,1993-06-08,"Une telle organisation bouleverserait les conditions d' existence des  personnels , en allégeant considérablement le coût et la fatigue des  trajets domicile - travail , qui sont souvent des déplacements banlieue - centreville centre ville , et en augmentant le temps disponible hors travail ."
id292578,PIOT OLIVIER,1993-06-02,"Fin 1992 , un premier bilan est dressé : prèsde près de 4348 4 348 emplois ont été créés depuis le lancement du  programme ."
id249632,LEMONDE,1992-07-08,"Quantà Quant à l' activité du  marché de l' écu , qui était très forte de janvier à mai ( avec 9 % de croissance des  émissions ) , elle a été brutalement freinée àlasuitedu à la suite du  non danois au  traitédeMaastricht traité de Maastricht ."
1103,LEMONDE,1990-01-13,"Le dirigeant soviétique vient d' accorder une importante concession aux  nationalistes lituaniens , mais aussi à ceux d' autres Républiques de l' union où les tentations séparatistes vont très certainement se développer rapidement ."
id224934,LAZARE FRANCOISE,1992-01-03,M. Mitterrand rappelle à chaque occasion les bienfaits d' une CEE consolidée par les accords de Maastricht et a insisté le 31 décembre sur les bonnes conditions de retour à la prospérité .
id225179,VAYSSE FRANCOISE,1992-01-06,"Elément de confort , le chauffagecentral chauffage central ne cesse de progresser dans les résidencesprincipales résidences principales des  Français , la préférence allant au  gaz et - deplusenplus de plus en plus - à l' électricité , qui détrônent le fioul ."
id225555,COJEAN ANNICK,1992-01-09,"Sans complaisance , mais sans hypocrisie ; avec intérêt et avec réalisme ."
id249697,LE BOUCHER ERIC,1992-07-08,"Celui du  cadre peut atteindre une proportion libre , jusqu' à 100 % ."
1070,WOODROW ALAIN,1990-01-15,"Et Mr Jacques Toubon , député RPR , déplore la disparition d' une émission qui "" avait réussi à concilier brillamment la qualité culturelle et l' intérêt pour le grandpublic grand public "" ."
id249429,LEMONDE,1992-07-07,"Les fondateurs de cette Confédération , auréolés par la Résistance , auront , l' euphorie de la victoire passée , bien du mal à convaincre les paysans de la nécessité d' une cohésion nationale ."
id271327,MONNOT CAROLINE,1992-12-30,Un verdict dont on sait déjà qu' il est défavorable à la filiale du  groupe français .
id249693,BAUDET MARIE BEATRICE,1992-07-08,Ce toilettage va va d'ailleurs d' ailleurs bontrain bon train depuis une dizaine d' années .
id249630,TUQUOI JEAN PIERRE,1992-07-08,Mais les résultats sont décevants .
id249774,"GAY PIERRE ANGEL,MONNOT CAROLINE",1992-07-09,"Patron de la firme de sport , il s' est résolu à en abandonner le contrôle après un sermon de ses financiers ."
id270762,GALLOIS DOMINIQUE,1992-12-25,"Auparavant , Interagra réalisait plus des  deux tiers de ses échanges avec l' ex-URSS ex - URSS et l' Europedel'Est Europe de l' Est , dont elle était un partenaire incontournable ."
id293325,VAYSSE FRANCOISE,1993-06-08,"Contrairementaux Contrairement aux  aides à la pierre , elles sont fortement modulées selon le revenu ( elles augmentent enmoyenne en moyenne de 20 francs lorsque le revenu diminue de 100 francs ) et selon la taille de la famille ( + 33 % par enfant supplémentaire ) ."
487,CHIROT FRANCOISE,1990-01-19,Au  point que certains reprochent aux  juristes d' assurer de cette manière la pérennité de leur activité . .
id270985,HAREL XAVIER,1992-12-28,Les exportations françaises sur ces marchés seront aussi mises à rude concurrence par les produits américains devenus particulièrement compétitifs du  fait de la faiblesse du  dollar aucoursdu au  cours du  second semestre 1992 .
id274658,LEMONDE,1992-12-30,SIÈGE CibaVision Ciba Vision ( groupe Ciba-Geigy Ciba - Geigy ) transfère son siège de la Suisse aux  Etats-Unis Etats - Unis .
id293363,RICHES VERONIQUE,1993-06-08,"C' est le cas notamment dans l' immobilier , où l' investissement baisse régulièrement chaque année depuis 1986 ( àraisonde à raison de - 9 % par an enmoyenne en moyenne ) ."
id249470,COLIGNON JEAN PIERRE,1992-07-07,"les affaires , c' est l' argent des  autres ! "" ?"
id271428,LE BOUCHER ERIC,1992-12-31,Mais on n' est jamais trop prudent :
id249685,BAUDET MARIE BEATRICE,1992-07-08,"Mais si l' expatriation devient "" moins lucrative "" , elle devra , enrevanche en revanche , se montrer plus qualitative ."
id270988,POPE NICOLE,1992-12-28,"Même les politiciens - le premierministre premier ministre , Süleyman Demirel , et le président Ozal enparticulier en particulier - ont été sollicités et y sont allés de leurs commentaires ."
id248802,"NORMAND JEAN MICHEL,TEULADE RENE",1992-07-02,"C' est ce que nous sommes entrainde en train de réaliser sur le texte , fondamental , qui prévoit la reconduction et la consolidation du  RMI . """
